,Simulator Time,Packet Ident,Packet Create,Packet Time to Creation,Packet Transmission Delay,Packet Propagation Delay,Packet Queueing Delay
0,1.008,2,0.0,1.008,0.008,1.0,0.0
1,1.03035709089,3,0.0223570908856,1.008,0.008,1.0,0.0
2,1.03859540153,4,0.0305954015334,1.008,0.008,1.0,0.0
3,1.17128584977,5,0.163285849773,1.008,0.008,1.0,0.0
4,1.18151351164,6,0.173513511635,1.008,0.008,1.0,0.0
5,1.21104481542,7,0.203044815421,1.008,0.008,1.0,0.0
6,1.25969348285,8,0.251693482852,1.008,0.008,1.0,0.0
7,1.29495195861,9,0.286951958609,1.008,0.008,1.0,0.0
8,1.30295195861,10,0.289165776535,1.01378618207,0.008,1.0,0.00578618207364
9,1.38917496074,11,0.38117496074,1.008,0.008,1.0,0.0
10,1.39717496074,12,0.388668827094,1.00850613365,0.008,1.0,0.000506133646522
11,1.4468561776,13,0.438856177597,1.008,0.008,1.0,0.0
12,1.46420403334,14,0.456204033341,1.008,0.008,1.0,0.0
13,1.47220403334,15,0.461384706006,1.01081932734,0.008,1.0,0.00281932733543
14,1.49620537231,16,0.48820537231,1.008,0.008,1.0,0.0
15,1.50420537231,17,0.48976887466,1.01443649765,0.008,1.0,0.00643649764941
16,1.51220537231,18,0.490595178717,1.02161019359,0.008,1.0,0.0136101935925
17,1.52020537231,19,0.491617153248,1.02858821906,0.008,1.0,0.0205882190622
18,1.54532648017,20,0.537326480173,1.008,0.008,1.0,0.0
19,1.55358455344,21,0.545584553439,1.008,0.008,1.0,0.0
20,1.75951894352,22,0.751518943524,1.008,0.008,1.0,0.0
21,1.80770615826,23,0.799706158259,1.008,0.008,1.0,0.0
22,1.88316462666,24,0.875164626662,1.008,0.008,1.0,0.0
23,1.89470477759,25,0.886704777594,1.008,0.008,1.0,0.0
24,1.96903888466,26,0.961038884656,1.008,0.008,1.0,0.0
25,1.97703888466,27,0.966312884386,1.01072600027,0.008,1.0,0.00272600027004
26,2.01720872363,28,1.00920872363,1.008,0.008,1.0,0.0
27,2.03203266225,29,1.02403266225,1.008,0.008,1.0,0.0
28,2.04003266225,30,1.02747817235,1.0125544899,0.008,1.0,0.0045544899039
29,2.0677834807,31,1.0597834807,1.008,0.008,1.0,0.0
30,2.0757834807,32,1.0646735298,1.0111099509,0.008,1.0,0.00310995090031
31,2.10600553122,33,1.09800553122,1.008,0.008,1.0,0.0
32,2.1806624721,34,1.1726624721,1.008,0.008,1.0,0.0
33,2.19185590774,35,1.18385590774,1.008,0.008,1.0,0.0
34,2.2037574729,36,1.1957574729,1.008,0.008,1.0,0.0
35,2.21806569773,37,1.21006569773,1.008,0.008,1.0,0.0
36,2.2470189898,38,1.2390189898,1.008,0.008,1.0,0.0
37,2.2550189898,39,1.24161644931,1.0134025405,0.008,1.0,0.00540254049626
38,2.2902800323,40,1.2822800323,1.008,0.008,1.0,0.0
39,2.41859535327,41,1.41059535327,1.008,0.008,1.0,0.0
40,2.44191751863,42,1.43391751863,1.008,0.008,1.0,0.0
41,2.47497016425,43,1.46697016425,1.008,0.008,1.0,0.0
42,2.50669610452,44,1.49869610452,1.008,0.008,1.0,0.0
43,2.54872755777,45,1.54072755777,1.008,0.008,1.0,0.0
44,2.60794956521,46,1.59994956521,1.008,0.008,1.0,0.0
45,2.61594956521,47,1.60280794671,1.01314161849,0.008,1.0,0.00514161849321
46,2.64011978456,48,1.63211978456,1.008,0.008,1.0,0.0
47,2.71481474855,49,1.70681474855,1.008,0.008,1.0,0.0
48,2.75393886969,50,1.74593886969,1.008,0.008,1.0,0.0
49,2.82639791573,51,1.81839791573,1.008,0.008,1.0,0.0
50,2.83439791573,52,1.81869000679,1.01570790894,0.008,1.0,0.00770790894369
51,2.97003684555,53,1.96203684555,1.008,0.008,1.0,0.0
52,2.98315781609,54,1.97515781609,1.008,0.008,1.0,0.0
53,2.99971359298,55,1.99171359298,1.008,0.008,1.0,0.0
54,3.06092779973,56,2.05292779973,1.008,0.008,1.0,0.0
55,3.06892779973,57,2.05311595468,1.01581184505,0.008,1.0,0.007811845048
56,3.08898610415,58,2.08098610415,1.008,0.008,1.0,0.0
57,3.09720758594,59,2.08920758594,1.008,0.008,1.0,0.0
58,3.14631196672,60,2.13831196672,1.008,0.008,1.0,0.0
59,3.2052432587,61,2.1972432587,1.008,0.008,1.0,0.0
60,3.2132432587,62,2.19735111742,1.01589214127,0.008,1.0,0.0078921412749
61,3.2212432587,63,2.20476608311,1.01647717559,0.008,1.0,0.00847717559221
62,3.2292432587,64,2.21724678462,1.01199647407,0.008,1.0,0.00399647407334
63,3.25220900114,65,2.24420900114,1.008,0.008,1.0,0.0
64,3.26121745604,66,2.25321745604,1.008,0.008,1.0,0.0
65,3.26921745604,67,2.25581192918,1.01340552686,0.008,1.0,0.00540552686367
66,3.27785340239,68,2.26985340239,1.008,0.008,1.0,0.0
67,3.35571242847,69,2.34771242847,1.008,0.008,1.0,0.0
68,3.36625829819,70,2.35825829819,1.008,0.008,1.0,0.0
69,3.37729347268,71,2.36929347268,1.008,0.008,1.0,0.0
70,3.39802707727,72,2.39002707727,1.008,0.008,1.0,0.0
71,3.41604329763,73,2.40804329763,1.008,0.008,1.0,0.0
72,3.42819859747,74,2.42019859747,1.008,0.008,1.0,0.0
73,3.43619859747,75,2.42777028988,1.00842830759,0.008,1.0,0.000428307590359
