,Simulator Time,Packet Ident,Packet Create,Packet Time to Creation,Packet Transmission Delay,Packet Propagation Delay,Packet Queueing Delay
0,1.008,2,0.0,1.008,0.008,1.0,0.0
1,1.07495434713,3,0.0669543471327,1.008,0.008,1.0,0.0
2,1.6507831721,4,0.642783172099,1.008,0.008,1.0,0.0
3,1.6587831721,5,0.649306355984,1.00947681611,0.008,1.0,0.00147681611484
4,1.84235371304,6,0.834353713041,1.008,0.008,1.0,0.0
5,2.20821279986,7,1.20021279986,1.008,0.008,1.0,0.0
6,2.35779008822,8,1.34979008822,1.008,0.008,1.0,0.0
7,2.42306729416,9,1.41506729416,1.008,0.008,1.0,0.0
8,2.57609408613,10,1.56809408613,1.008,0.008,1.0,0.0
9,2.84946393706,11,1.84146393706,1.008,0.008,1.0,0.0
10,2.87833904779,12,1.87033904779,1.008,0.008,1.0,0.0
11,3.18100804791,13,2.17300804791,1.008,0.008,1.0,0.0
12,3.18900804791,14,2.17466131519,1.01434673272,0.008,1.0,0.00634673272188
13,3.24401846507,15,2.23601846507,1.008,0.008,1.0,0.0
14,3.25201846507,16,2.23910946,1.01290900507,0.008,1.0,0.0049090050655
15,3.3186182202,17,2.3106182202,1.008,0.008,1.0,0.0
16,3.35180015353,18,2.34380015353,1.008,0.008,1.0,0.0
17,3.43943309295,19,2.43143309295,1.008,0.008,1.0,0.0
18,3.52021291706,20,2.51221291706,1.008,0.008,1.0,0.0
19,3.63662635062,21,2.62862635062,1.008,0.008,1.0,0.0
20,3.73657753708,22,2.72857753708,1.008,0.008,1.0,0.0
21,3.75056029974,23,2.74256029974,1.008,0.008,1.0,0.0
22,3.78948664165,24,2.78148664165,1.008,0.008,1.0,0.0
23,3.80183424621,25,2.79383424621,1.008,0.008,1.0,0.0
24,3.80983424621,26,2.79831194289,1.01152230332,0.008,1.0,0.00352230331709
25,3.90429411351,27,2.89629411351,1.008,0.008,1.0,0.0
26,4.02881190762,28,3.02081190762,1.008,0.008,1.0,0.0
27,4.03891911728,29,3.03091911728,1.008,0.008,1.0,0.0
28,4.06086294573,30,3.05286294573,1.008,0.008,1.0,0.0
29,4.11882435748,31,3.11082435748,1.008,0.008,1.0,0.0
30,4.316596791,32,3.308596791,1.008,0.008,1.0,0.0
31,4.32639213409,33,3.31839213409,1.008,0.008,1.0,0.0
32,4.4308075465,34,3.4228075465,1.008,0.008,1.0,0.0
33,4.44485100199,35,3.43685100199,1.008,0.008,1.0,0.0
34,4.56310376841,36,3.55510376841,1.008,0.008,1.0,0.0
35,4.61381800642,37,3.60581800642,1.008,0.008,1.0,0.0
36,4.69139933973,38,3.68339933973,1.008,0.008,1.0,0.0
37,4.81049687297,39,3.80249687297,1.008,0.008,1.0,0.0
38,4.83959957949,40,3.83159957949,1.008,0.008,1.0,0.0
39,4.89857138898,41,3.89057138898,1.008,0.008,1.0,0.0
40,4.92982574294,42,3.92182574294,1.008,0.008,1.0,0.0
41,4.94057130818,43,3.93257130818,1.008,0.008,1.0,0.0
42,5.02229106225,44,4.01429106225,1.008,0.008,1.0,0.0
43,5.10301388343,45,4.09501388343,1.008,0.008,1.0,0.0
44,5.35347577723,46,4.34547577723,1.008,0.008,1.0,0.0
45,5.38207343249,47,4.37407343249,1.008,0.008,1.0,0.0
46,5.42429912256,48,4.41629912256,1.008,0.008,1.0,0.0
47,5.45765884072,49,4.44965884072,1.008,0.008,1.0,0.0
48,5.61245252181,50,4.60445252181,1.008,0.008,1.0,0.0
49,5.72138391684,51,4.71338391684,1.008,0.008,1.0,0.0
50,5.90239974654,52,4.89439974654,1.008,0.008,1.0,0.0
51,5.96023171954,53,4.95223171954,1.008,0.008,1.0,0.0
52,6.05433433323,54,5.04633433323,1.008,0.008,1.0,0.0
53,6.06408660169,55,5.05608660169,1.008,0.008,1.0,0.0
54,6.09746465188,56,5.08946465188,1.008,0.008,1.0,0.0
55,6.14814784162,57,5.14014784162,1.008,0.008,1.0,0.0
56,6.16015759291,58,5.15215759291,1.008,0.008,1.0,0.0
57,6.18083065383,59,5.17283065383,1.008,0.008,1.0,0.0
58,6.19890302644,60,5.19090302644,1.008,0.008,1.0,0.0
59,6.2679472425,61,5.2599472425,1.008,0.008,1.0,0.0
60,6.4679371194,62,5.4599371194,1.008,0.008,1.0,0.0
61,6.50176381145,63,5.49376381145,1.008,0.008,1.0,0.0
62,6.73091171459,64,5.72291171459,1.008,0.008,1.0,0.0
63,6.8636755817,65,5.8556755817,1.008,0.008,1.0,0.0
64,6.87261078125,66,5.86461078125,1.008,0.008,1.0,0.0
65,6.97540103192,67,5.96740103192,1.008,0.008,1.0,0.0
66,7.13417864313,68,6.12617864313,1.008,0.008,1.0,0.0
67,7.30722521186,69,6.29922521186,1.008,0.008,1.0,0.0
68,7.3669275754,70,6.3589275754,1.008,0.008,1.0,0.0
69,7.6098369277,71,6.6018369277,1.008,0.008,1.0,0.0
70,7.63380009431,72,6.62580009431,1.008,0.008,1.0,0.0
71,7.69032742174,73,6.68232742174,1.008,0.008,1.0,0.0
72,7.72083385014,74,6.71283385014,1.008,0.008,1.0,0.0
73,7.7914225017,75,6.7834225017,1.008,0.008,1.0,0.0
74,7.92649539424,76,6.91849539424,1.008,0.008,1.0,0.0
75,8.03346526981,77,7.02546526981,1.008,0.008,1.0,0.0
76,8.07648155941,78,7.06848155941,1.008,0.008,1.0,0.0
77,8.14994817925,79,7.14194817925,1.008,0.008,1.0,0.0
78,8.17941749702,80,7.17141749702,1.008,0.008,1.0,0.0
79,8.23088049252,81,7.22288049252,1.008,0.008,1.0,0.0
80,8.37316143584,82,7.36516143584,1.008,0.008,1.0,0.0
81,8.38116143584,83,7.37124298576,1.00991845008,0.008,1.0,0.00191845008105
82,8.47360868924,84,7.46560868924,1.008,0.008,1.0,0.0
83,8.58224794688,85,7.57424794688,1.008,0.008,1.0,0.0
84,8.72550656356,86,7.71750656356,1.008,0.008,1.0,0.0
85,8.73350656356,87,7.725148146,1.00835841756,0.008,1.0,0.000358417564773
86,8.76943072073,88,7.76143072073,1.008,0.008,1.0,0.0
87,8.80409784559,89,7.79609784559,1.008,0.008,1.0,0.0
88,9.04754369725,90,8.03954369725,1.008,0.008,1.0,0.0
89,9.09584248878,91,8.08784248878,1.008,0.008,1.0,0.0
90,9.1916259524,92,8.1836259524,1.008,0.008,1.0,0.0
91,9.22157788537,93,8.21357788537,1.008,0.008,1.0,0.0
92,9.22957788537,94,8.21880205042,1.01077583495,0.008,1.0,0.00277583494924
93,9.34709067877,95,8.33909067877,1.008,0.008,1.0,0.0
94,9.35509067877,96,8.3455988699,1.00949180887,0.008,1.0,0.00149180887081
95,9.47165783883,97,8.46365783883,1.008,0.008,1.0,0.0
96,9.48469846169,98,8.47669846169,1.008,0.008,1.0,0.0
97,9.5606744708,99,8.5526744708,1.008,0.008,1.0,0.0
98,9.61031252056,100,8.60231252056,1.008,0.008,1.0,0.0
99,9.69744163207,101,8.68944163207,1.008,0.008,1.0,0.0
100,9.75621847673,102,8.74821847673,1.008,0.008,1.0,0.0
101,9.93484784113,103,8.92684784113,1.008,0.008,1.0,0.0
102,9.94284784113,104,8.92742891226,1.01541892887,0.008,1.0,0.00741892887123
103,10.0083493352,105,9.00034933522,1.008,0.008,1.0,0.0
104,10.0508433397,106,9.04284333972,1.008,0.008,1.0,0.0
105,10.0588433397,107,9.04388296748,1.01496037224,0.008,1.0,0.00696037223996
106,10.163403851,108,9.15540385098,1.008,0.008,1.0,0.0
107,10.2109508551,109,9.20295085509,1.008,0.008,1.0,0.0
108,10.2497086234,110,9.24170862335,1.008,0.008,1.0,0.0
109,10.312525992,111,9.30452599203,1.008,0.008,1.0,0.0
110,10.3433609061,112,9.33536090607,1.008,0.008,1.0,0.0
111,10.3614394818,113,9.3534394818,1.008,0.008,1.0,0.0
112,10.4302018347,114,9.42220183473,1.008,0.008,1.0,0.0
113,10.4526255936,115,9.44462559363,1.008,0.008,1.0,0.0
114,10.4908406323,116,9.4828406323,1.008,0.008,1.0,0.0
115,10.5453866185,117,9.53738661854,1.008,0.008,1.0,0.0
116,10.5738071955,118,9.56580719551,1.008,0.008,1.0,0.0
117,10.7315059957,119,9.72350599568,1.008,0.008,1.0,0.0
118,10.7395979007,120,9.73159790067,1.008,0.008,1.0,0.0
119,10.7957796888,121,9.78777968885,1.008,0.008,1.0,0.0
120,10.8037796888,122,9.78819774793,1.01558194092,0.008,1.0,0.00758194091922
