,Simulator Time,Packet Ident,Packet Create,Packet Time to Creation,Packet Transmission Delay,Packet Propagation Delay,Packet Queueing Delay
0,0.514,1,0.0,0.514,0.314,0.2,0.0
1,0.764,2,0.008,0.756,0.314,0.2,0.242
2,1.014,3,0.016,0.998,0.314,0.2,0.484
3,1.264,4,0.024,1.24,0.314,0.2,0.726
4,1.514,5,0.032,1.482,0.314,0.2,0.968
5,1.764,6,0.04,1.724,0.314,0.2,1.21
6,2.014,7,0.048,1.966,0.314,0.2,1.452
7,2.264,8,0.056,2.208,0.314,0.2,1.694
8,2.514,9,0.064,2.45,0.314,0.2,1.936
9,2.764,10,0.072,2.692,0.314,0.2,2.178
10,3.014,11,0.08,2.934,0.314,0.2,2.42
11,3.264,12,0.088,3.176,0.314,0.2,2.662
12,3.514,13,0.096,3.418,0.314,0.2,2.904
13,3.764,14,0.104,3.66,0.314,0.2,3.146
14,4.014,15,0.112,3.902,0.314,0.2,3.388
15,4.264,16,0.12,4.144,0.314,0.2,3.63
16,4.514,17,0.128,4.386,0.314,0.2,3.872
17,4.764,18,0.136,4.628,0.314,0.2,4.114
18,5.014,19,0.144,4.87,0.314,0.2,4.356
19,5.264,20,0.152,5.112,0.314,0.2,4.598
20,5.514,21,0.16,5.354,0.314,0.2,4.84
21,5.764,22,0.168,5.596,0.314,0.2,5.082
22,6.014,23,0.176,5.838,0.314,0.2,5.324
23,6.264,24,0.184,6.08,0.314,0.2,5.566
24,6.514,25,0.192,6.322,0.314,0.2,5.808
25,6.764,26,0.2,6.564,0.314,0.2,6.05
26,7.014,27,0.208,6.806,0.314,0.2,6.292
27,7.264,28,0.216,7.048,0.314,0.2,6.534
28,7.514,29,0.224,7.29,0.314,0.2,6.776
29,7.764,30,0.232,7.532,0.314,0.2,7.018
30,8.014,31,0.24,7.774,0.314,0.2,7.26
31,8.264,32,0.248,8.016,0.314,0.2,7.502
32,8.514,33,0.256,8.258,0.314,0.2,7.744
33,8.764,34,0.264,8.5,0.314,0.2,7.986
34,9.014,35,0.272,8.742,0.314,0.2,8.228
35,9.264,36,0.28,8.984,0.314,0.2,8.47
36,9.514,37,0.288,9.226,0.314,0.2,8.712
37,9.764,38,0.296,9.468,0.314,0.2,8.954
38,10.014,39,0.304,9.71,0.314,0.2,9.196
39,10.264,40,0.312,9.952,0.314,0.2,9.438
40,10.514,41,0.32,10.194,0.314,0.2,9.68
41,10.764,42,0.328,10.436,0.314,0.2,9.922
42,11.014,43,0.336,10.678,0.314,0.2,10.164
43,11.264,44,0.344,10.92,0.314,0.2,10.406
44,11.514,45,0.352,11.162,0.314,0.2,10.648
45,11.764,46,0.36,11.404,0.314,0.2,10.89
46,12.014,47,0.368,11.646,0.314,0.2,11.132
47,12.264,48,0.376,11.888,0.314,0.2,11.374
48,12.514,49,0.384,12.13,0.314,0.2,11.616
49,12.764,50,0.392,12.372,0.314,0.2,11.858
50,13.014,51,0.4,12.614,0.314,0.2,12.1
51,13.264,52,0.408,12.856,0.314,0.2,12.342
52,13.514,53,0.416,13.098,0.314,0.2,12.584
53,13.764,54,0.424,13.34,0.314,0.2,12.826
54,14.014,55,0.432,13.582,0.314,0.2,13.068
55,14.264,56,0.44,13.824,0.314,0.2,13.31
56,14.514,57,0.448,14.066,0.314,0.2,13.552
57,14.764,58,0.456,14.308,0.314,0.2,13.794
58,15.014,59,0.464,14.55,0.314,0.2,14.036
59,15.264,60,0.472,14.792,0.314,0.2,14.278
60,15.514,61,0.48,15.034,0.314,0.2,14.52
61,15.764,62,0.488,15.276,0.314,0.2,14.762
62,16.014,63,0.496,15.518,0.314,0.2,15.004
63,16.264,64,0.504,15.76,0.314,0.2,15.246
64,16.514,65,0.512,16.002,0.314,0.2,15.488
65,16.764,66,0.52,16.244,0.314,0.2,15.73
66,17.014,67,0.528,16.486,0.314,0.2,15.972
67,17.264,68,0.536,16.728,0.314,0.2,16.214
68,17.514,69,0.544,16.97,0.314,0.2,16.456
69,17.764,70,0.552,17.212,0.314,0.2,16.698
70,18.014,71,0.56,17.454,0.314,0.2,16.94
71,18.264,72,0.568,17.696,0.314,0.2,17.182
72,18.514,73,0.576,17.938,0.314,0.2,17.424
73,18.764,74,0.584,18.18,0.314,0.2,17.666
74,19.014,75,0.592,18.422,0.314,0.2,17.908
75,19.264,76,0.6,18.664,0.314,0.2,18.15
76,19.514,77,0.608,18.906,0.314,0.2,18.392
77,19.764,78,0.616,19.148,0.314,0.2,18.634
78,20.014,79,0.624,19.39,0.314,0.2,18.876
79,20.264,80,0.632,19.632,0.314,0.2,19.118
80,20.514,81,0.64,19.874,0.314,0.2,19.36
81,20.764,82,0.648,20.116,0.314,0.2,19.602
82,21.014,83,0.656,20.358,0.314,0.2,19.844
83,21.264,84,0.664,20.6,0.314,0.2,20.086
84,21.514,85,0.672,20.842,0.314,0.2,20.328
85,21.764,86,0.68,21.084,0.314,0.2,20.57
86,22.014,87,0.688,21.326,0.314,0.2,20.812
87,22.264,88,0.696,21.568,0.314,0.2,21.054
88,22.514,89,0.704,21.81,0.314,0.2,21.296
89,22.764,90,0.712,22.052,0.314,0.2,21.538
90,23.014,91,0.72,22.294,0.314,0.2,21.78
91,23.264,92,0.728,22.536,0.314,0.2,22.022
92,23.514,93,0.736,22.778,0.314,0.2,22.264
93,23.764,94,0.744,23.02,0.314,0.2,22.506
94,24.014,95,0.752,23.262,0.314,0.2,22.748
95,24.264,96,0.76,23.504,0.314,0.2,22.99
96,24.514,97,0.768,23.746,0.314,0.2,23.232
97,24.764,98,0.776,23.988,0.314,0.2,23.474
98,25.014,99,0.784,24.23,0.314,0.2,23.716
99,25.264,100,0.792,24.472,0.314,0.2,23.958
100,25.514,101,0.8,24.714,0.314,0.2,24.2
101,25.764,102,0.808,24.956,0.314,0.2,24.442
102,26.014,103,0.816,25.198,0.314,0.2,24.684
103,26.264,104,0.824,25.44,0.314,0.2,24.926
104,26.514,105,0.832,25.682,0.314,0.2,25.168
105,26.764,106,0.84,25.924,0.314,0.2,25.41
106,27.014,107,0.848,26.166,0.314,0.2,25.652
107,27.264,108,0.856,26.408,0.314,0.2,25.894
108,27.514,109,0.864,26.65,0.314,0.2,26.136
109,27.764,110,0.872,26.892,0.314,0.2,26.378
110,28.014,111,0.88,27.134,0.314,0.2,26.62
111,28.264,112,0.888,27.376,0.314,0.2,26.862
112,28.514,113,0.896,27.618,0.314,0.2,27.104
113,28.764,114,0.904,27.86,0.314,0.2,27.346
114,29.014,115,0.912,28.102,0.314,0.2,27.588
115,29.264,116,0.92,28.344,0.314,0.2,27.83
116,29.514,117,0.928,28.586,0.314,0.2,28.072
117,29.764,118,0.936,28.828,0.314,0.2,28.314
118,30.014,119,0.944,29.07,0.314,0.2,28.556
